이름,API 분류,태그,필드
CompletedCreditSummaryResponse,API Response,DTO(응답 객체),"totalCredits, majorCredits, liberalCredits, areaCredits"
OcrJobCreateRequest,API Request,DTO(요청 객체),"Multipart: image, documentType=TIMETABLE 또는 TRANSCRIPT"
OcrJobCreateResponse,API Response,DTO(응답 객체),"jobId, status, uploadedAt"
OcrJobResultResponse,API Response,DTO(응답 객체),"status, recognizedCourses[], warnings[], originalDeleted"
OcrResultConfirmRequest,API Request,DTO(요청 객체),courses[]
OcrResultConfirmResponse,API Response,DTO(응답 객체),"savedCourses[], skippedCourses[]"
OcrJobDeleteResponse,API Response,DTO(응답 객체),"message, deletedAt"
RequirementRuleListResponse,API Response,DTO(응답 객체),"rules[], sources[], manualReviewItems[]"
RequirementEvaluationRequest,API Request,DTO(요청 객체),"admissionYear, departmentId, studentType, programPath, completedCourses[]?"
RequirementEvaluationResponse,API Response,DTO(응답 객체),"creditStatus, areaStatus[], requiredCourseStatus[], missingRequirements[], manualReviewItems[]"
RequirementRecommendationResponse,API Response,DTO(응답 객체),"missingRequirements[], recommendedCourses[]"
RequirementSourceResponse,API Response,DTO(응답 객체),"sourceId, title, url, effectiveDate, verifiedAt"
HealthLiveResponse,API Response,DTO(응답 객체),"status, version"
HealthReadyResponse,API Response,DTO(응답 객체),"status, database, catalog, optimizer"
